t,data
0,-0.93115234375
1,-0.9287109375
2,-0.93115234375
3,-0.92919921875
4,-0.927734375
5,-0.9306640625
6,-0.93017578125
7,-0.93310546875
8,-0.9326171875
9,-0.927734375
10,-0.931640625
11,-0.9287109375
12,-0.9296875
13,-0.9296875
14,-0.93017578125
15,-0.92919921875
16,-0.93017578125
17,-0.9296875
18,-0.9296875
19,-0.9287109375
20,-0.92919921875
21,-0.92919921875
22,-0.93115234375
23,-0.93115234375
24,-0.92919921875
25,-0.93017578125
26,-0.93017578125
27,-0.9287109375
28,-0.93115234375
29,-0.92919921875
30,-0.9296875
31,-0.9287109375
32,-0.92919921875
33,-0.931640625
34,-0.9296875
35,-0.9306640625
36,-0.92919921875
37,-0.93017578125
38,-0.9345703125
39,-0.93017578125
40,-0.9296875
41,-0.93017578125
42,-0.9306640625
43,-0.92919921875
44,-0.92822265625
45,-0.9326171875
46,-0.92919921875
47,-0.9306640625
48,-0.93115234375
49,-0.93017578125
50,-0.92919921875
51,-0.93212890625
52,-0.93212890625
53,-0.93212890625
54,-0.93310546875
55,-0.9326171875
56,-0.93017578125
57,-0.931640625
58,-0.9306640625
59,-0.93212890625
60,-0.93212890625
61,-0.93212890625
62,-0.9306640625
63,-0.93359375
64,-0.93359375
65,-0.931640625
66,-0.9296875
67,-0.931640625
68,-0.92919921875
69,-0.93310546875
70,-0.93212890625
71,-0.931640625
72,-0.93212890625
73,-0.93310546875
74,-0.93310546875
75,-0.93212890625
76,-0.931640625
77,-0.9296875
78,-0.93017578125
79,-0.93115234375
80,-0.9306640625
81,-0.9287109375
82,-0.93017578125
83,-0.93017578125
84,-0.9287109375
85,-0.93115234375
86,-0.93115234375
87,-0.9287109375
88,-0.9287109375
89,-0.9306640625
90,-0.93408203125
91,-0.93212890625
92,-0.93212890625
93,-0.9296875
94,-0.93212890625
95,-0.93212890625
96,-0.92919921875
97,-0.92919921875
98,-0.93310546875
99,-0.93310546875
100,-0.93115234375
101,-0.9326171875
102,-0.9306640625
103,-0.9306640625
104,-0.9287109375
105,-0.92822265625
106,-0.93115234375
107,-0.9326171875
108,-0.931640625
109,-0.9296875
110,-0.9287109375
111,-0.9326171875
112,-0.93017578125
113,-0.9306640625
114,-0.93017578125
115,-0.93017578125
116,-0.93115234375
117,-0.93017578125
118,-0.93212890625
119,-0.93115234375
120,-0.93115234375
121,-0.92919921875
122,-0.93017578125
123,-0.93017578125
124,-0.93408203125
